desc,jaccard,rbo,kendall_tau
HawkesRanker L=149 p=0.5 beta=5.3842528939841635e-08,0.37853207272981393,0.4003625162678003,0.40007263149155003
HawkesRanker L=15 p=0.01 beta=3.553372057089577e-06,0.3460345666935462,0.374734186223843,0.3760523762967666
HawkesRanker L=15 p=0.1 beta=1.7766860285447885e-06,0.3716420296168161,0.39057088144852276,0.39034678760832076
HawkesRanker L=15 p=0.5 beta=5.348357874690936e-07,0.39755079638083235,0.4116614154715446,0.41637995362165264
HawkesRanker L=150 p=0.01 beta=3.553372057089577e-07,0.3987321158606973,0.4118974610988827,0.4113599153553713
HawkesRanker L=150 p=0.1 beta=1.7766860285447886e-07,0.3979300158273596,0.4116541723094046,0.4182246647475274
HawkesRanker L=150 p=0.5 beta=5.348357874690936e-08,0.378308280032523,0.40014999397323986,0.3998621338778892
HawkesRanker L=151 p=0.01 beta=3.529839791810838e-07,0.39897934321270256,0.41191650005194935,0.41148931203067407
HawkesRanker L=151 p=0.1 beta=1.764919895905419e-07,0.39797357155252217,0.4116976275817556,0.41807717015414475
HawkesRanker L=151 p=0.5 beta=5.3129382861168235e-08,0.378308280032523,0.4001334786704938,0.39978733418289564
HawkesRanker L=152 p=0.01 beta=3.5066171616015564e-07,0.3990437549648584,0.41200550723609086,0.41141434022992934
HawkesRanker L=152 p=0.1 beta=1.7533085808007782e-07,0.39720252520074145,0.4116763025725993,0.41869629411125125
HawkesRanker L=152 p=0.5 beta=5.277984744760792e-08,0.378308280032523,0.4000044673869668,0.3990170133143139
HawkesRanker L=153 p=0.01 beta=3.48369809518586e-07,0.3997024503538594,0.4123279768073117,0.41187888711818443
HawkesRanker L=153 p=0.1 beta=1.74184904759293e-07,0.3972881606750695,0.4125795895032148,0.42242418387887976
HawkesRanker L=153 p=0.5 beta=5.243488112442094e-08,0.3782147993736713,0.3998651292374116,0.3988356257590594
HawkesRanker L=154 p=0.01 beta=3.4610766789833543e-07,0.39998601095774566,0.41245098530126567,0.41221910606879897
HawkesRanker L=154 p=0.1 beta=1.7305383394916772e-07,0.3971114822298399,0.41271465906491367,0.42244222463417097
HawkesRanker L=154 p=0.5 beta=5.209439488335327e-08,0.3779203352982885,0.3998678882247754,0.39918150686884196
HawkesRanker L=155 p=0.01 beta=3.438747152022171e-07,0.39975043969743945,0.4123128896952987,0.41213604566090795
HawkesRanker L=155 p=0.1 beta=1.7193735760110856e-07,0.39656186430785684,0.41270477431095354,0.42384676247671654
HawkesRanker L=155 p=0.5 beta=5.1758302013138086e-08,0.37818959197466573,0.39893486293327135,0.39650159463528384
HawkesRanker L=156 p=0.01 beta=3.41670390104767e-07,0.39975043969743945,0.41225345414218567,0.4121801793998543
HawkesRanker L=156 p=0.1 beta=1.708351950523835e-07,0.39682393053829884,0.4128800506122434,0.4242165382674398
HawkesRanker L=156 p=0.5 beta=5.142651802587438e-08,0.37824217484526973,0.398885230119044,0.3961605179006759
HawkesRanker L=157 p=0.01 beta=3.3949414558180674e-07,0.4010307182860603,0.4127062629850404,0.4116916216850669
