,L,mu_t,mu_c,theta,forget_func,jaccard_sim,rbo
8705,90.0,0.32271428571428573,0.19442857142857142,0.16733333333333333,exp,0.37263164594205517,0.37355166807958057
8706,90.0,0.32271428571428573,0.25857142857142856,0.001,exp,0.3373429021603825,0.34981662833615695
8707,90.0,0.32271428571428573,0.25857142857142856,0.05644444444444444,exp,0.35538414334404833,0.36045853780042353
8708,90.0,0.32271428571428573,0.25857142857142856,0.11188888888888888,exp,0.36056760728184023,0.3637478055990442
8709,90.0,0.32271428571428573,0.25857142857142856,0.16733333333333333,exp,0.36468438103791845,0.3665298712374494
8710,90.0,0.32271428571428573,0.25857142857142856,0.22277777777777777,exp,0.3680337798265732,0.36865097917658335
8711,90.0,0.32271428571428573,0.32271428571428573,0.001,exp,0.3336968210537048,0.34552675654627774
8712,90.0,0.32271428571428573,0.32271428571428573,0.05644444444444444,exp,0.35070795225817614,0.35660005596510574
8713,90.0,0.32271428571428573,0.32271428571428573,0.11188888888888888,exp,0.3542138744666899,0.3580146251405358
8714,90.0,0.32271428571428573,0.32271428571428573,0.16733333333333333,exp,0.3569189481400757,0.359836277029794
8715,90.0,0.32271428571428573,0.32271428571428573,0.22277777777777777,exp,0.359593929984343,0.36214681679148436
8716,90.0,0.32271428571428573,0.32271428571428573,0.2782222222222222,exp,0.365103512780245,0.36466827318283596
8717,90.0,0.32271428571428573,0.38685714285714284,0.001,exp,0.33050769073678876,0.3408365855248146
8718,90.0,0.32271428571428573,0.38685714285714284,0.05644444444444444,exp,0.34383697776485134,0.34914974079501715
8719,90.0,0.32271428571428573,0.38685714285714284,0.11188888888888888,exp,0.3479946417496252,0.35099877633380444
8720,90.0,0.32271428571428573,0.38685714285714284,0.16733333333333333,exp,0.35174781106206426,0.35260491411972417
8721,90.0,0.32271428571428573,0.38685714285714284,0.22277777777777777,exp,0.3523134947754637,0.3539119482556994
8722,90.0,0.32271428571428573,0.38685714285714284,0.2782222222222222,exp,0.35494951258014734,0.3557495703977766
8723,90.0,0.32271428571428573,0.45099999999999996,0.001,exp,0.32771595989956426,0.33727025595273413
8724,90.0,0.32271428571428573,0.45099999999999996,0.05644444444444444,exp,0.3412281845876882,0.3459221414312673
8725,90.0,0.32271428571428573,0.45099999999999996,0.11188888888888888,exp,0.34228737496685485,0.3475642498213641
8726,90.0,0.32271428571428573,0.45099999999999996,0.16733333333333333,exp,0.345258872357475,0.3488358161077976
8727,90.0,0.32271428571428573,0.45099999999999996,0.22277777777777777,exp,0.34733704340583316,0.3490703285740701
8728,90.0,0.32271428571428573,0.45099999999999996,0.2782222222222222,exp,0.34855909365638804,0.35028977188834853
8729,90.0,0.32271428571428573,0.5151428571428571,0.001,exp,0.32351299826270485,0.33229549656566976
8730,90.0,0.32271428571428573,0.5151428571428571,0.05644444444444444,exp,0.33578204590712074,0.3403326253337706
8731,90.0,0.32271428571428573,0.5151428571428571,0.11188888888888888,exp,0.33776863798456885,0.34218753501126
8732,90.0,0.32271428571428573,0.5151428571428571,0.16733333333333333,exp,0.33926337793524763,0.34325574655129504
8733,90.0,0.32271428571428573,0.5151428571428571,0.22277777777777777,exp,0.34139943591201083,0.34428805479165764
8734,90.0,0.32271428571428573,0.5151428571428571,0.2782222222222222,exp,0.3425358627455778,0.3452246571243557
8735,90.0,0.32271428571428573,0.5792857142857143,0.001,exp,0.31904781470662935,0.3273955923011571
8736,90.0,0.32271428571428573,0.5792857142857143,0.05644444444444444,exp,0.33127118668281835,0.33553306726524146
8737,90.0,0.32271428571428573,0.5792857142857143,0.11188888888888888,exp,0.33316841841463873,0.3369745871335863
8738,90.0,0.32271428571428573,0.5792857142857143,0.16733333333333333,exp,0.33561047312347686,0.3384583856762356
8739,90.0,0.32271428571428573,0.5792857142857143,0.22277777777777777,exp,0.3371538560468842,0.3397402503224934
8740,90.0,0.32271428571428573,0.5792857142857143,0.2782222222222222,exp,0.33845455685021214,0.3409533752290938
8741,90.0,0.32271428571428573,0.6434285714285715,0.001,exp,0.31544258891306465,0.3244325907505433
8742,90.0,0.32271428571428573,0.6434285714285715,0.05644444444444444,exp,0.3262813321691866,0.33174324161459146
8743,90.0,0.32271428571428573,0.6434285714285715,0.11188888888888888,exp,0.329337554761148,0.3343842061492911
8744,90.0,0.32271428571428573,0.6434285714285715,0.16733333333333333,exp,0.3306928370158529,0.33568136848880925
8745,90.0,0.32271428571428573,0.6434285714285715,0.22277777777777777,exp,0.3318995515661161,0.3367198037923987
8746,90.0,0.32271428571428573,0.6434285714285715,0.2782222222222222,exp,0.3326820597202309,0.3372795775828575
8747,90.0,0.32271428571428573,0.7075714285714285,0.001,exp,0.31322781294195684,0.3209562192870584
8748,90.0,0.32271428571428573,0.7075714285714285,0.05644444444444444,exp,0.32324936739648497,0.32890554352653845
8749,90.0,0.32271428571428573,0.7075714285714285,0.11188888888888888,exp,0.32555819650085777,0.33108939988016106
8750,90.0,0.32271428571428573,0.7075714285714285,0.16733333333333333,exp,0.32708971479527443,0.3319313321503351
8751,90.0,0.32271428571428573,0.7075714285714285,0.22277777777777777,exp,0.32781705803371103,0.3327853610668493
8752,90.0,0.32271428571428573,0.7075714285714285,0.2782222222222222,exp,0.3282549346109603,0.3334198047143686
8753,90.0,0.32271428571428573,0.7717142857142857,0.001,exp,0.31123109945546823,0.31894875480335433
8754,90.0,0.32271428571428573,0.7717142857142857,0.05644444444444444,exp,0.31991222098933236,0.32573755559481904
8755,90.0,0.32271428571428573,0.7717142857142857,0.11188888888888888,exp,0.3214648399299283,0.3272114653168457
8756,90.0,0.32271428571428573,0.7717142857142857,0.16733333333333333,exp,0.3232325105849514,0.32835771014156284
8757,90.0,0.32271428571428573,0.7717142857142857,0.22277777777777777,exp,0.3248838018287002,0.3289868245608566
8758,90.0,0.32271428571428573,0.7717142857142857,0.2782222222222222,exp,0.3248264551034367,0.32933249052777547
8759,90.0,0.32271428571428573,0.8358571428571429,0.001,exp,0.3099427903569992,0.31703807430097514
8760,90.0,0.32271428571428573,0.8358571428571429,0.05644444444444444,exp,0.3156491260267879,0.32078511703084184
8761,90.0,0.32271428571428573,0.8358571428571429,0.11188888888888888,exp,0.318510414521,0.32367351615239376
8762,90.0,0.32271428571428573,0.8358571428571429,0.16733333333333333,exp,0.32067821132788094,0.3253251455716296
8763,90.0,0.32271428571428573,0.8358571428571429,0.22277777777777777,exp,0.32109884694381297,0.3266140226297981
8764,90.0,0.32271428571428573,0.8358571428571429,0.2782222222222222,exp,0.32150286090767166,0.32691100156983977
8765,90.0,0.32271428571428573,0.9,0.001,exp,0.3085814463562039,0.31337179706659907
8766,90.0,0.32271428571428573,0.9,0.05644444444444444,exp,0.31158373412666207,0.3166255816516711
8767,90.0,0.32271428571428573,0.9,0.11188888888888888,exp,0.31265622158185047,0.31787762679389736
8768,90.0,0.32271428571428573,0.9,0.16733333333333333,exp,0.3135591077992084,0.3195018530011916
8769,90.0,0.32271428571428573,0.9,0.22277777777777777,exp,0.3174086839471152,0.32223430011537335
8770,90.0,0.32271428571428573,0.9,0.2782222222222222,exp,0.3183424191519501,0.32269384962151015
8771,90.0,0.38685714285714284,0.002,0.001,exp,0.21494457795131836,0.2685339139461917
8772,90.0,0.38685714285714284,0.06614285714285714,0.001,exp,0.3399432226140076,0.3608918262093899
8773,90.0,0.38685714285714284,0.06614285714285714,0.05644444444444444,exp,0.3632295814421016,0.37529980984997285
8774,90.0,0.38685714285714284,0.13028571428571428,0.001,exp,0.3446987131922874,0.3589364667223289
8775,90.0,0.38685714285714284,0.13028571428571428,0.05644444444444444,exp,0.3682780092198537,0.3736126331785221
8776,90.0,0.38685714285714284,0.13028571428571428,0.11188888888888888,exp,0.3778216334543917,0.3784644260175526
8777,90.0,0.38685714285714284,0.19442857142857142,0.001,exp,0.33851460362085906,0.35447092354769744
8778,90.0,0.38685714285714284,0.19442857142857142,0.05644444444444444,exp,0.3554752991935491,0.3644013145282306
8779,90.0,0.38685714285714284,0.19442857142857142,0.11188888888888888,exp,0.36287992221763044,0.36807076221621227
8780,90.0,0.38685714285714284,0.19442857142857142,0.16733333333333333,exp,0.3686207958968188,0.37148016438030207
8781,90.0,0.38685714285714284,0.25857142857142856,0.001,exp,0.3339773027538129,0.3491352576454761
8782,90.0,0.38685714285714284,0.25857142857142856,0.05644444444444444,exp,0.3510113631424469,0.3585722394663982
8783,90.0,0.38685714285714284,0.25857142857142856,0.11188888888888888,exp,0.3571603265285045,0.3618874703621056
8784,90.0,0.38685714285714284,0.25857142857142856,0.16733333333333333,exp,0.36170004414017726,0.36494603846241175
8785,90.0,0.38685714285714284,0.25857142857142856,0.22277777777777777,exp,0.365222605782716,0.3677005828242766
8786,90.0,0.38685714285714284,0.32271428571428573,0.001,exp,0.3316240451641168,0.346511806091592
8787,90.0,0.38685714285714284,0.32271428571428573,0.05644444444444444,exp,0.34825522141791193,0.35504257601903927
8788,90.0,0.38685714285714284,0.32271428571428573,0.11188888888888888,exp,0.353925728179166,0.357534491513872
8789,90.0,0.38685714285714284,0.32271428571428573,0.16733333333333333,exp,0.3563697657820836,0.35912584490176563
8790,90.0,0.38685714285714284,0.32271428571428573,0.22277777777777777,exp,0.35924715377281063,0.36141330568174096
8791,90.0,0.38685714285714284,0.32271428571428573,0.2782222222222222,exp,0.3613319717706211,0.36297467033510733
8792,90.0,0.38685714285714284,0.38685714285714284,0.001,exp,0.3287140698801886,0.34099723976949897
8793,90.0,0.38685714285714284,0.38685714285714284,0.05644444444444444,exp,0.3424777833238842,0.34859208880804793
8794,90.0,0.38685714285714284,0.38685714285714284,0.11188888888888888,exp,0.34759046108947267,0.3511771416238682
8795,90.0,0.38685714285714284,0.38685714285714284,0.16733333333333333,exp,0.351825766532584,0.3529748728061487
8796,90.0,0.38685714285714284,0.38685714285714284,0.22277777777777777,exp,0.3526089426916277,0.3540186680247966
8797,90.0,0.38685714285714284,0.38685714285714284,0.2782222222222222,exp,0.35502541330383947,0.3558181681340514
