,L,mu,jaccard_sim,rbo,kendall_tau
11549,246.0,0.009919678714859437,0.40662742080157815,0.4143278040011832,0.4142635768639494
11550,246.0,0.010120080321285141,0.40662742080157815,0.4141335962159217,0.4142418992705505
11551,246.0,0.010320481927710843,0.40662742080157815,0.41403276913954384,0.413882803635844
11552,246.0,0.010520883534136546,0.40651859712154537,0.4141037861370058,0.4139847336989815
11553,246.0,0.010721285140562248,0.40661636385013095,0.4140156451370065,0.4136568975709032
11554,246.0,0.010921686746987952,0.4067509759988774,0.41403890184040837,0.4138575420874618
11555,246.0,0.011122088353413655,0.4071287873188457,0.41398784520179494,0.4127788247733323
11556,246.0,0.011322489959839357,0.40689321605853945,0.4140327804517565,0.4130976182140218
11557,246.0,0.01152289156626506,0.40689321605853945,0.41477360939780533,0.4143638951152108
11558,246.0,0.011723293172690764,0.407067952982393,0.4145767319097604,0.4131884066191182
11559,246.0,0.011923694779116466,0.40787382547151296,0.41504660457482956,0.41274740629359685
11560,246.0,0.012124096385542169,0.40787382547151296,0.41517439069154993,0.4132813247986503
11561,246.0,0.012324497991967871,0.40894181059234797,0.4156566866520276,0.41385994380301977
11562,246.0,0.012524899598393575,0.40894181059234797,0.41576577153378247,0.4145725543429254
11563,246.0,0.012725301204819277,0.40887721847258657,0.4158279807204835,0.4147443883767757
11564,246.0,0.01292570281124498,0.40673839503863335,0.414169183343942,0.4154475092471528
11565,246.0,0.013126104417670682,0.4066223001113054,0.41418110430071753,0.41548240847322976
11566,246.0,0.013326506024096385,0.4066223001113054,0.4137335013935647,0.4139886700158795
11567,246.0,0.013526907630522089,0.40652444743394744,0.41378037779259413,0.4138321494446785
11568,246.0,0.013727309236947791,0.40652444743394744,0.4138662722854286,0.41321369355635296
11569,246.0,0.013927710843373494,0.406208950210323,0.41374197644302785,0.41373691073156194
11570,246.0,0.014128112449799196,0.406311304033317,0.4136577269992377,0.4145141779817384
11571,246.0,0.0143285140562249,0.40631715714923045,0.413242984412108,0.4142972011771134
11572,246.0,0.014528915662650603,0.40589565285846824,0.413217459546273,0.4153793601840353
11573,246.0,0.014729317269076305,0.40589565285846824,0.4132474631904926,0.41556560943029586
11574,246.0,0.014929718875502008,0.40570291273639947,0.41334986261639955,0.415696319053531
11575,246.0,0.015130120481927712,0.40546968787189486,0.41331699299084296,0.4159805242098627
11576,246.0,0.015330522088353414,0.40546968787189486,0.41298557537946656,0.415511711394106
11577,246.0,0.015530923694779116,0.40546968787189486,0.41326014090080754,0.4155874256472005
11578,246.0,0.01573132530120482,0.4053663989346836,0.41338263551287047,0.41506644612979404
11579,246.0,0.015931726907630523,0.40556055107229866,0.4135610603751065,0.4147925959044546
11580,246.0,0.016132128514056224,0.40556055107229866,0.4134835583675088,0.415301472550913
11581,246.0,0.016332530120481928,0.4052240207004326,0.412992528735578,0.4161596722556649
11582,246.0,0.016532931726907632,0.4052240207004326,0.41322999059156207,0.4164376382714442
11583,246.0,0.016733333333333333,0.4053987576242861,0.4138278782516282,0.4164946742141584
11584,246.0,0.016933734939759037,0.4034572362481358,0.41190791819969624,0.4167967813272312
11585,246.0,0.017134136546184738,0.4034572362481358,0.4118932924395817,0.4164231085583004
11586,246.0,0.01733453815261044,0.4033245528307696,0.41166971555374343,0.41606959951626804
11587,246.0,0.017534939759036146,0.40323493332956617,0.4116438696982434,0.4161337416617361
11588,246.0,0.017735341365461847,0.40334032047233476,0.4118717868572677,0.41679754669409846
11589,246.0,0.01793574297188755,0.4034393380625184,0.4117843546525332,0.41687091240543084
11590,246.0,0.018136144578313255,0.40353559045559056,0.41184449730103523,0.41675046156265055
11591,246.0,0.018336546184738955,0.40333173071109485,0.41183361563578513,0.41691904790244844
11592,246.0,0.01853694779116466,0.4033314424245875,0.41179958059705196,0.4170433918826335
11593,246.0,0.01873734939759036,0.40294462370738005,0.4117705005988303,0.4172584440077153
11594,246.0,0.018937751004016064,0.40313948963961865,0.4117386064267326,0.4171440566868077
11595,246.0,0.01913815261044177,0.4031552963692062,0.41157052509673286,0.41697533789587016
11596,246.0,0.01933855421686747,0.4034707935928307,0.4116064956281141,0.41671345118472236
11597,246.0,0.019538955823293173,0.40336371574723695,0.41159412719668564,0.4170064305579937
11598,246.0,0.019739357429718874,0.4034980326939028,0.41181628233381096,0.41732455655759715
11599,246.0,0.019939759036144578,0.4038135299175272,0.41193211874310137,0.41697796402155873
11600,246.0,0.020140160642570282,0.40340548684163957,0.41196081408788543,0.41785032505481123
11601,246.0,0.020340562248995983,0.40340548684163957,0.4117595992769221,0.4175395665884624
11602,246.0,0.020540963855421687,0.4032442327051204,0.4120743589119727,0.4169629064161282
11603,246.0,0.02074136546184739,0.40335581909158125,0.4120463711198618,0.4167010098100514
11604,246.0,0.020941767068273092,0.40335581909158125,0.4120499038084197,0.41669561178878345
11605,246.0,0.021142168674698796,0.4036334566483707,0.4119673572585743,0.4164125829673875
11606,246.0,0.021342570281124497,0.4040724093073264,0.4119447036742088,0.41630130203836174
11607,246.0,0.0215429718875502,0.4037952705603766,0.41111833567496714,0.4126860681342898
11608,246.0,0.021743373493975905,0.4039279539777428,0.4110100295921255,0.41262875054057413
11609,246.0,0.021943775100401606,0.4039279539777428,0.4109800842591135,0.4125468585369451
11610,246.0,0.02214417670682731,0.4038022538981328,0.4110354784805726,0.41270418170355055
11611,246.0,0.022344578313253014,0.4038022538981328,0.4109584198807277,0.41316878790045497
11612,246.0,0.022544979919678715,0.4035050444434005,0.4110492970344064,0.41426574569306257
11613,246.0,0.02274538152610442,0.4035050444434005,0.41097745139319686,0.41388465556588716
