,L,mu,theta,forget_func,jaccard_sim
438,37.0,0.4,0.5,exp,0.0131812364283959
439,37.0,0.4,0.5,pow,0.046732881188633446
440,37.0,0.6,0.05,exp,0.29297645664934246
441,37.0,0.6,0.05,pow,0.28369887813606937
442,37.0,0.6,0.1,exp,0.2968982589659902
443,37.0,0.6,0.1,pow,0.290937060089311
444,37.0,0.6,0.3,exp,0.30444024569886463
445,37.0,0.6,0.3,pow,0.2951044653213258
446,37.0,0.6,0.5,exp,0.31761022810067296
447,37.0,0.6,0.5,pow,0.2994190539060246
448,37.0,0.8,0.05,exp,0.28135908688113787
449,37.0,0.8,0.05,pow,0.27496843626306144
450,37.0,0.8,0.1,exp,0.28459795166737384
451,37.0,0.8,0.1,pow,0.2767830752346909
452,37.0,0.8,0.3,exp,0.2902288002120839
453,37.0,0.8,0.3,pow,0.28671236941118117
454,37.0,0.8,0.5,exp,0.2968315215149348
455,37.0,0.8,0.5,pow,0.2943068195002365
456,39.0,0.4,0.05,exp,0.3071548709115495
457,39.0,0.4,0.05,pow,0.2898389184701695
458,39.0,0.4,0.1,exp,0.31147147366545536
459,39.0,0.4,0.1,pow,0.2907054224074996
460,39.0,0.4,0.3,exp,0.3285588312105801
461,39.0,0.4,0.3,pow,0.2901835877302334
462,39.0,0.4,0.5,exp,0.013866251824149795
463,39.0,0.4,0.5,pow,0.04560367385416568
464,39.0,0.6,0.05,exp,0.2928068390056764
465,39.0,0.6,0.05,pow,0.2839042301332895
466,39.0,0.6,0.1,exp,0.29780129478694295
467,39.0,0.6,0.1,pow,0.291009447012909
468,39.0,0.6,0.3,exp,0.3049011085260106
469,39.0,0.6,0.3,pow,0.2951742275715769
470,39.0,0.6,0.5,exp,0.3176714857337675
471,39.0,0.6,0.5,pow,0.2994190539060246
472,39.0,0.8,0.05,exp,0.28221144374954854
473,39.0,0.8,0.05,pow,0.2748658609385815
474,39.0,0.8,0.1,exp,0.2852965418123308
475,39.0,0.8,0.1,pow,0.2769305994186225
476,39.0,0.8,0.3,exp,0.2908980351388787
477,39.0,0.8,0.3,pow,0.28671236941118117
478,39.0,0.8,0.5,exp,0.2975076954042977
479,39.0,0.8,0.5,pow,0.2944340330154004
480,41.0,0.4,0.05,exp,0.30794051492342345
481,41.0,0.4,0.05,pow,0.28982092183169894
482,41.0,0.4,0.1,exp,0.31237324906580377
483,41.0,0.4,0.1,pow,0.2906657489190959
484,41.0,0.4,0.3,exp,0.3282141706785911
485,41.0,0.4,0.3,pow,0.2901835877302334
486,41.0,0.4,0.5,exp,0.015849482700836085
487,41.0,0.4,0.5,pow,0.045076104657447415
488,41.0,0.6,0.05,exp,0.29292205731397336
489,41.0,0.6,0.05,pow,0.2840094816923864
490,41.0,0.6,0.1,exp,0.29794796279608543
491,41.0,0.6,0.1,pow,0.2912802062245362
492,41.0,0.6,0.3,exp,0.30547435628873454
493,41.0,0.6,0.3,pow,0.29506188316857507
494,41.0,0.6,0.5,exp,0.3176650831906489
495,41.0,0.6,0.5,pow,0.2992918403908607
496,41.0,0.8,0.05,exp,0.28305266177371
497,41.0,0.8,0.05,pow,0.27469475177093255
498,41.0,0.8,0.1,exp,0.2854215104311985
499,41.0,0.8,0.1,pow,0.2769252017220185
500,41.0,0.8,0.3,exp,0.293030237404479
501,41.0,0.8,0.3,pow,0.28688349832505483
502,41.0,0.8,0.5,exp,0.2980846759473145
503,41.0,0.8,0.5,pow,0.29435306756634044
504,43.0,0.4,0.05,exp,0.30879346525407436
505,43.0,0.4,0.05,pow,0.28956459398623313
506,43.0,0.4,0.1,exp,0.3126571309760051
507,43.0,0.4,0.1,pow,0.29041559538174516
508,43.0,0.4,0.3,exp,0.3283598636306946
509,43.0,0.4,0.3,pow,0.2901835877302334
